CDNAME,CDUID,Aerospace Vehicles and Defense,Agricultural Inputs and Services,Apparel,Automotive,Biopharmaceuticals,Business Services,Coal Mining,Communications Equipment and Services,Construction Products and Services,Distribution and Electronic Commerce,Downstream Chemical Products,Downstream Metal Products,Education and Knowledge Creation,Electric Power Generation and Transmission,Environmental Services,Financial Services,Fishing and Fishing Products,Food Processing and Manufacturing,Footwear,Forestry,Furniture,Hospitality and Tourism,Information Technology and Analytical Instruments,Insurance Services,Jewelry and Precious Metals,Leather and Related Products,Lighting and Electrical Equipment,Livestock Processing,Local Commercial Services,Local Community and Civic Organizations,Local Education and Training,Local Entertainment and Media,Local Financial Services,Local Food and Beverage Processing and Distribution,Local Health Services,Local Hospitality Establishments,Local Household Goods and Services,Local Industrial Products and Services,Local Logistical Services,Local Motor Vehicle Products and Services,Local Personal Services (Non-Medical),"Local Real Estate, Construction, and Development",Local Retailing of Clothing and General Merchandise,Local Utilities,"Marketing, Design, and Publishing",Medical Devices,Metal Mining,Metalworking Technology,Music and Sound Recording,Nonmetal Mining,Oil and Gas Production and Transportation,Paper and Packaging,Performing Arts,Plastics,Printing Services,Production Technology and Heavy Machinery,Recreational and Small Electric Goods,Textile Manufacturing,Tobacco,"Trailers, Motor Homes, and Appliances",Transportation and Logistics,Upstream Chemical Products,Upstream Metal Manufacturing,Video Production and Distribution,Vulcanized and Fired Materials,Water Transportation,Wood Products
Division No.  1,1001,0.080513144,0.592688748,0.181989555,0.008960247,0,0.852950045,0.14815469,1.176711045,0.872470219,0.677349667,0.101118079,0.24400208,1.25594987,1.56663841,0.373468561,0.277543496,10.09182134,0.806741753,2.546292877,0,0.340658541,0.572208008,0.249850636,0.734632301,0,0.189294591,0.088567719,0.036381917,1.007318914,1.547492377,1.188823638,0.891159851,0.671584314,0.988133324,1.182815535,1.006779081,0.712766705,0.592103391,0.58093182,1.043597815,0.837120566,1.242269956,1.10326299,1.597433642,0.642090629,0.169390734,1.609626264,0.155190368,0.096740876,0.118349979,3.928074116,0.032398523,1.260973081,0.075955456,0.37434185,0.251951647,0.224679485,0.058845281,0,0.02954623,1.483498239,0.11603128,0.342149786,0.17283513,0.038498225,8.387045786,0.21721008
Division No.  2,1002,0,0,0,0,0,0.133386244,0,0,0.127835481,0.280959413,0,0,0.358273585,0,1.748727519,0.157305797,69.85749163,0,0,0,0,1.197073713,0,0,0,0,0,0,0.206543793,1.530683788,0.209141352,0.705779347,1.921530189,1.1196196,1.627970185,0.844160912,1.207626566,0.62435059,0.74288777,1.226785995,0.503217665,0.866732661,1.712456769,1.61737128,0.026237599,0,0,0,0,36.24033626,0,0,1.53496551,2.342305227,0.397816991,0,0,0,0,0,0.249690992,0,0,0.000866455,0.085505624,3.318965779,0
Division No.  3,1003,0,0,4.122603458,0,0,0.043532918,0,0.377774366,0,0.531982255,0,0,0.241127657,5.376137516,0.27270778,0.145205352,41.13473117,0,0,0,0.412597184,1.198718045,0,0.049033745,0,0,0,0,0.234323332,2.723118571,0.003368055,0.215977817,1.675180165,2.638110936,0.945273011,0.537834962,0.604836436,0,0.796327866,1.543118679,0.333474198,0.628085206,0.663906317,0.493109749,0,0,0,0,0,0,8.161178034,0,0.101206517,0,0,1.566799653,0,1.940184886,0,0,0.79949135,0,0,0,0,64.97073593,0.057938047
Division No.  4,1004,0,0,0,0,0,0.04317716,0,0,0.177172839,2.158595925,0,0,1.919105887,2.919264795,1.261683798,0.147838319,3.568103566,0,0,2.67722821,0,0.683052478,0,0,0,0,0,0.511617584,0.199835878,2.045951006,0.000609623,0.299546517,1.137037154,1.76624789,1.651758371,1.027145515,0.981319272,1.137985811,0.70897845,1.851218147,0.439864966,0.960902876,2.102939195,0.215362473,0,1.591700065,0,0,0,18.16490929,0,0,2.747777764,0,0,0.472654811,0,0,0,0,2.072859093,0,0,0,0,2.151181523,0.05243433
Division No.  5,1005,0,0,0,0,0,0.502167375,0.159136114,0,0.73889588,1.748456028,0,0.124288028,0.727416481,0.115949877,1.75425695,0.13701263,15.33421375,0.008838219,0,2.779938852,0.017797384,1.107545102,0,0.169205691,0.36629053,0,0,0.12192521,0.65159186,1.792399828,0.107313802,1.554808656,0.897923289,1.347580645,1.076560836,0.923413856,0.831366268,0.388796472,0.600882746,2.270346854,0.575415072,1.486793016,1.483018911,0.403006184,0.075466038,0.126441032,0.04250805,0.115849794,0,0.909660884,0.011734417,7.40289735,1.178696954,0,0,0.094309556,0,0,0,0,1.947996844,0,0.437645957,0.01293734,0,0.956955808,0.499831667
Division No.  6,1006,1.558286069,0.067022469,0,0.007109732,0,0.256425223,0.861852382,0,0.709861763,0.237007523,0,0.074650909,0.307988868,4.178566731,0.682201672,0.075239922,0.034048662,0.191105451,0,0.821168845,0,1.403294516,0,0.038111148,0,0,0,0,0.574015324,1.657279477,0.09658484,1.067645903,1.085018765,1.324455728,2.283350367,1.257377386,0.585987621,0.49701721,0.806645048,2.690079169,1.029269037,0.905884504,2.199214116,4.053428033,0.068362324,0.455664381,0.230215904,0.043922912,0,0.365414759,0.014096046,0,0.393310424,0.336099874,0.313957513,0.135309388,0.022260923,0,0,0,2.933452434,0,0,0,0.214712631,0,0.105074568
Division No.  7,1007,0,0.847747256,0,0,0,0.462701374,0,0,0.288695144,0.270243177,0,0,0.268877054,0,0.070139771,0.029740231,55.29820583,0.439996185,0,0.830937623,0.135209731,2.148411367,0,0,0.556554194,0.963890973,1.127470478,0.030876213,0.321713333,1.616380515,0.028355782,0.141553573,0.936466594,1.284307141,1.484888003,1.067218488,0.447785209,0.206032946,2.024448163,2.152105976,0.417334729,1.095288411,1.425825998,0.334577424,0.057020825,0,0,0.064912518,0,0,0,0,1.227133733,0.009174451,0,0.166670702,0.231026943,0,0,0.036165831,0.396535216,0,0,0,0,7.841381213,2.14547762
Division No.  8,1008,0,0,0,0,0,0.075609491,6.514519172,0,0.668149578,0.576157745,0,0.285881933,0.204275282,0,0.093253355,0.031632567,53.19390292,0.374943616,0,7.871426011,0.251672702,1.934350168,0,0,0,0,0,0,0.578454869,3.178782719,0.034272759,0.260305389,1.169932819,1.396428698,1.125501024,0.555384329,1.04784356,0.188997742,0.756118666,1.506223008,0.205571618,1.176606574,0.805796151,0.32351473,0.051650963,0,13.29370493,0.200763065,0,0.106356708,0.047410377,0,0.264570578,0,0.047998127,0,0,22.59475037,0,0,1.600452477,0,0,0,0,5.592432679,0.252432734
Division No.  9,1009,0,0.179750096,0.930766043,0,0,0.02904333,0,0,0.929527644,0.654903408,0,0.066028531,0.244331632,6.350438583,0.380698525,0.075670798,57.07274657,0.056948105,0,0.587286351,0,5.234006244,0,0,0,0,0,0,0.112245511,1.669001502,0,0.281523208,0.513521101,1.099698878,1.938528825,0.770958552,0.147957982,0,0.940186036,1.820279854,0.151869753,0.830060593,0.691962389,1.31001395,0,0,0,0,0,0,0,2.384988204,0.070322275,0,0,0.036289137,0,0,0,0,0.660616096,0,0,0,0,13.21294433,0.442834011
Division No. 10,1010,0,0,0,0,0,0.287757155,33.67559545,0,12.2472383,0.909889099,0.935515504,0.10462883,0.166824323,6.990965594,0.266998629,0.240564732,21.92065929,0,0,0,0,1.15464923,0,0,0,1.838864306,0,0,0.432078879,1.114611752,0.218518696,0.271233912,0.782383679,0.927366546,0.54454782,0.50515789,0.90074485,0.046595433,0.475329233,1.313220308,0.256781305,0.883507422,0.753036353,0.030470223,0.072678623,0,58.72996417,0,0,11.66633418,0,0,0.303705864,0,0.165294034,0,0,0,0,0,0.583578459,0.56358129,0.253721024,0,0,4.240149401,0
