PRNAME,Aerospace Vehicles and Defense,Agricultural Inputs and Services,Apparel,Automotive,Biopharmaceuticals,Business Services,Coal Mining,Communications Equipment and Services,Construction Products and Services,Distribution and Electronic Commerce,Downstream Chemical Products,Downstream Metal Products,Education and Knowledge Creation,Electric Power Generation and Transmission,Environmental Services,Financial Services,Fishing and Fishing Products,Food Processing and Manufacturing,Footwear,Forestry,Furniture,Hospitality and Tourism,Information Technology and Analytical Instruments,Insurance Services,Jewelry and Precious Metals,Leather and Related Products,Lighting and Electrical Equipment,Livestock Processing,Local Commercial Services,Local Community and Civic Organizations,Local Education and Training,Local Entertainment and Media,Local Financial Services,Local Food and Beverage Processing and Distribution,Local Health Services,Local Hospitality Establishments,Local Household Goods and Services,Local Industrial Products and Services,Local Logistical Services,Local Motor Vehicle Products and Services,Local Personal Services (Non-Medical),"Local Real Estate, Construction, and Development",Local Retailing of Clothing and General Merchandise,Local Utilities,"Marketing, Design, and Publishing",Medical Devices,Metal Mining,Metalworking Technology,Music and Sound Recording,Nonmetal Mining,Oil and Gas Production and Transportation,Paper and Packaging,Performing Arts,Plastics,Printing Services,Production Technology and Heavy Machinery,Recreational and Small Electric Goods,Textile Manufacturing,Tobacco,"Trailers, Motor Homes, and Appliances",Transportation and Logistics,Upstream Chemical Products,Upstream Metal Manufacturing,Video Production and Distribution,Vulcanized and Fired Materials,Water Transportation,Wood Products
Alberta,0.072666927,1.424291007,0.168261348,0.079522694,0.175139536,1.024755709,1.256928827,0.253321358,2.794276242,0.985851359,0.450130772,1.083698298,0.728618947,1.283725555,1.289429838,0.713719912,0.007023681,0.635207422,0.128154206,0.722746331,0.55939679,1.149278402,0.660918209,0.566122181,0.26129787,0.312013954,0.35520014,1.652865399,1.203566645,0.777829243,0.910565458,0.962432257,0.829017594,0.835718097,0.859044406,1.009344197,1.012564342,0.797798166,1.035003761,1.121307264,0.984828066,1.238005893,0.914907712,1.958777956,0.478215662,0.544483613,0.152819243,0.604669303,0.158240587,1.050175696,5.80534354,0.420067001,0.919021202,0.515468253,0.550234617,0.840947214,0.364007495,0.151846568,0.007648843,0.34230465,1.237311525,2.227391731,0.610527021,0.089398546,0.327868702,0.021557565,0.713025104
British Columbia / Colombie-Britannique,0.316487811,1.60236776,0.624369779,0.11990744,0.482724551,0.812326618,2.630368397,0.39366657,0.767387753,0.832112336,0.642665296,0.621713713,1.001900558,0.276404328,1.026842471,1.0364906,0.883333053,1.02217644,0.382777095,3.054276177,0.619088388,1.426674002,1.113669517,0.747570599,0.5377311,0.620860955,0.713995074,0.600332597,0.974690972,1.069204217,0.916913089,1.307577549,1.168470127,1.074948464,0.893562003,1.251198406,1.010632036,0.806745353,0.988925909,0.97458773,0.979408359,1.116035125,1.073965856,0.46897484,0.892881799,0.96903821,1.028797275,0.386670212,0.832904999,0.539117486,0.320110485,1.150950589,1.089651456,0.391377004,0.7286197,0.571791735,0.806451184,0.204470933,0,1.152717346,1.219094154,0.42190168,0.687980709,1.919803162,0.548194742,2.757624256,2.174572129
Manitoba,2.529117287,1.800144759,1.628265256,0.90219632,1.818064451,0.497480805,0.200003298,0.156417845,0.839013803,0.731143849,0.268208405,1.388287553,0.731589024,1.916829021,1.202387312,0.826578864,0.458748159,1.005389446,2.313216463,0.188346911,2.771599138,1.122019839,0.248094486,1.003562365,1.640802723,1.649195553,0.690510413,2.717823108,0.932050928,1.349554898,1.667389652,1.067656427,1.107140937,0.952747646,1.269791052,0.91421707,0.946398517,0.687708344,0.780637281,1.220350409,1.152275939,1.070474893,0.995661961,0.611536925,0.521991748,0.710122941,1.044641467,0.656146912,0.216112238,0.426030008,0.162789539,0.642830437,0.718781275,1.036423012,1.549788059,1.516211684,0.468418036,0.222953192,0,3.738711061,1.043770488,1.142209825,0.649609617,0.295541099,0.357610371,0.014580594,0.646298085
New Brunswick / Nouveau-Brunswick,0.041441128,0.96430145,0.461962212,0.094513933,0.002629722,0.783280709,0.202684241,0.239296172,0.874570551,0.719600697,0.209741121,1.455501926,0.94635969,1.329915167,1.461127516,0.311435662,12.09999661,1.225226142,0.036640681,3.046781169,0.751490035,1.038729715,0.482354028,1.134499206,0.113241452,0.800830705,0.099408895,0.272235088,0.828660479,1.263002514,0.359329187,0.902695459,1.305047056,1.062577191,1.298423065,0.950377337,0.840611433,0.795874312,1.089738349,1.459488956,0.824688969,1.026462299,1.003268303,1.184451732,0.343283507,0.312045234,0.05561396,0.726490509,0.250574979,2.178030456,2.321235787,3.298214773,0.873892291,0.803028743,0.249580354,0.640330497,1.16065078,0.222207394,0,0.763839413,1.416710098,0.163151802,0.515273269,0.083713121,0.207657979,2.870449719,2.555741504
Newfoundland and Labrador / Terre-Neuve-et-Labrador,0.147468602,0.42145439,0.202141669,0.00605717,0,0.63796811,2.574139984,0.743424419,1.502674518,0.731809323,0.123704616,0.185701446,0.943887748,1.987602289,0.506599693,0.217240627,17.19001011,0.554927049,1.595514983,0.652707752,0.237416947,0.970369371,0.156557181,0.476141525,0.05478987,0.284670182,0.110993613,0.04255444,0.825815763,1.638897076,0.780455927,0.811975648,0.797525334,1.111947953,1.254395614,0.948359806,0.721872013,0.485407699,0.681376588,1.365150612,0.704359746,1.167742711,1.190426635,1.392202261,0.422229264,0.172336591,5.307176597,0.119269678,0.060618132,2.055219209,2.596496728,0.62933145,1.079081992,0.12128498,0.275434718,0.216095258,0.153542525,0.904676814,0,0.020293928,1.583806071,0.109058338,0.263489544,0.109285964,0.039400819,7.660642195,0.307129448
Northwest Territories / Territoires du Nord-Ouest,0,0,0.201737543,0,0,0.501319411,19.14646497,0,2.412715661,0.517381012,1.126803429,0,0.608240426,6.477254827,0.946250354,0.385427214,0.91044305,0.030857837,0,1.352461913,0.062137945,2.068286169,0.000216286,0.81968817,0.255774,2.214862926,0,0,0.673643088,2.199488943,0.803803196,0.853803256,0.786536892,1.344790352,0.414737926,0.739195599,0.393696453,0.118357456,0.556376771,1.235846013,0.402379407,1.480628383,0.548135306,2.396438789,0.289687691,0.003196369,5.134324972,0,0,29.44583195,1.171731911,0,0.182902799,0.048843105,0.497730619,0.007216827,0,0,0,0,6.320079546,0,0,0.003613563,0.310000254,0.238651713,0.043627918
Nova Scotia / Nouvelle-Écosse,3.34370137,0.932683969,0.538634559,0.034564921,0.599572106,1.246806566,0.369539043,0.636836961,0.478730079,0.776100755,0.071478504,0.524025846,1.362144432,1.533665827,1.482712171,0.847250333,8.980760446,0.831446538,0.0547804,0.781134066,0.199030095,0.973805265,0.288202537,0.637484286,1.608387544,0.818561115,0.217325762,0.399183516,0.784445458,0.975510591,1.283227463,1.001992406,0.89063873,1.102871953,1.164597418,0.969546951,0.960615562,0.751994447,0.808676649,1.054350681,1.001556671,0.954443505,1.043568122,0.965367155,0.406043843,0.565344441,0.189207475,0.221381829,0.062437876,1.054633191,0.16675659,0.837368347,0.437191696,0.701792091,0.665329788,0.224103591,0.179767109,1.628409648,0,0.012455878,0.979361828,0.123425048,0.104514072,0.367621609,5.298581145,3.323956968,0.669492154
Nunavut,0,0,0.055204459,0,0,0.428485349,7.94378488,0,0.751493224,0.266839481,0.500945102,0,0.878169532,4.319407892,0,1.42913271,2.991684871,0.010974821,0,0,0,2.175890131,0,0.39395708,0,0,0,0,0.750974769,2.091543319,1.727131451,0.286809672,0.164939704,2.529141351,0.689941108,0.226833868,0.013994082,0.054683978,0.479566349,0.230661285,1.260008241,1.61000758,0.876315411,0.671148485,0.350258226,0,26.97812463,0,0,2.190082473,0,0,0.298149275,0,0,0,0,0.021350861,0,0,4.439753245,0,0,0.725841424,0,0.25463481,0
Ontario,0.713530971,0.687637578,0.844456506,2.065045479,1.21481344,1.209372733,0.557083008,1.310407308,0.699249048,1.146156177,1.388446555,0.966150213,1.01500317,0.842839435,0.827470265,1.350503485,0.054992709,0.979278057,0.500469326,0.278368582,1.06251576,0.833238196,1.247649918,1.098142535,1.428302657,1.178007032,1.214786544,0.753684748,1.049915916,0.994200906,0.862475596,0.937015415,0.994449663,0.949413916,1.029180195,0.956653503,1.056040077,1.136802146,1.007986598,0.844150161,0.921338347,0.919116869,1.008920916,0.876234447,1.491152767,1.210400965,0.894361201,1.590281052,1.507007533,0.674094004,0.138706345,0.929834467,0.896607365,1.340465317,1.196414688,1.08655608,0.94344101,1.137374437,1.256976785,0.655132433,0.67933777,0.917326768,1.220888733,0.82731838,1.131644336,0.326914805,0.497772653
Prince Edward Island / Île-du-Prince-Édouard,2.453600202,2.827112318,0.269897711,0.044571614,3.350370882,0.770081754,0.006529204,0,0.842248689,0.973232663,0,0.328303796,0.967227253,0.437672843,1.45632643,0.470599714,11.9898678,2.11912589,0,0.285145639,0.093657836,1.494855947,0.248683644,0.457761142,0.075142766,0,0.456673857,0.583622175,0.345065932,0.912151834,1.202519658,0.772594651,0.73245895,2.434361298,1.26058327,1.339716046,0.805257363,0.397854619,0.469952548,0.938911463,0.882269889,0.888658114,0.745898576,1.284934938,0.110020938,0.062207082,0.001744065,0.484509901,0.166272126,0.321502026,0.01925808,0.784645804,3.116586082,0.002229627,0.425465501,0.468363734,0.075153593,0.324756632,0,2.834127581,0.957713927,0,0.044890497,0.136781188,0.185153734,1.886025747,0.416170583
